단계,대분류,중분류,세부 기능,CRUD,필요 API,구현 방식 상세,진행 상태
3단계: 기능완성,관리자,통계 데이터 API,"지역별 축제 통계, 사용자 활동 통계",Read,GET /api/admin/stats/festivals + GET /api/admin/stats/users,"GROUP BY region, 기간별 활동 집계 쿼리",예정
3단계: 기능완성,관리자,자체 축제 관리,자체 기획 축제 수동 등록/수정/삭제 API,C/U/D,POST/PUT/DELETE /api/admin/festivals,"자체 기획 축제 수동 등록/수정 기능, 지도 좌표(위도/경도) 필수",예정
3단계: 기능완성,관리자,자체 축제 등록 UI,자체 축제 수동 등록 폼 UI 화면,C/U/D,-,공공데이터 갱신과 분리된 자체 관리자 Page 폼 구성,예정
4단계: 배포/마무리,배포,Docker Compose 구성,프론트(Next.js) + 백엔드(Spring) + DB(PostgreSQL) + Nginx,-,-,"docker-compose.yml 작성, 볼륨 마운트(이미지 파일), 환경변수 분리",예정
4단계: 배포/마무리,배포,CI/CD 파이프라인,GitHub Actions 자동 빌드/배포,-,-,"push → build → test → deploy, develop/main 브랜치 트리거",예정
4단계: 배포/마무리,배포,Nginx 리버스 프록시 설정,프론트 앞단 리버스 프록시 + SSL,-,-,"nginx.conf 작성, 프론트(3000) → 80/443, API 프록시(/api → 8080)",예정
4단계: 배포/마무리,테스트,통합 테스트,전체 흐름 테스트 (회원가입→로그인→조회→리뷰→커뮤니티),-,-,"시나리오 기반 수동 테스트, 주요 흐름 5개 이상",예정
4단계: 배포/마무리,테스트,크로스 브라우저/반응형 테스트,"Chrome/Safari/Firefox, 모바일/태블릿/데스크톱",-,-,"실기기 + 개발자도구 반응형 모드, CSS 깨짐 확인",예정
4단계: 배포/마무리,테스트,버그 수정,테스트 중 발견된 버그 수정,-,-,-,예정
4단계: 배포/마무리,발표준비,발표 PPT 제작,프로젝트 소개 + 기술 아키텍처 + 시연 시나리오,-,-,-,예정
